City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,albany,42.6001,-73.9662,302.48,47,34,0.89,US,1689889008
82,weno,7.4515,151.8468,301.43,79,97,4.8,FM,1689889597
83,mar del plata,-38.0023,-57.5575,286.16,81,0,8.05,AR,1689889017
84,belo sur tsiribihina,-19.7,44.55,292.59,81,0,1.86,MG,1689889598
85,olonkinbyen,70.9221,-8.7187,278.76,82,100,0.96,SJ,1689889117
86,port macquarie,-31.4333,152.9167,284.28,47,0,1.97,AU,1689889087
87,awjilah,29.1081,21.2869,302.71,47,0,5.68,LY,1689889598
88,udachny,66.4167,112.4,289.95,56,81,0.31,RU,1689889076
89,tommot,58.9564,126.2925,286.49,91,90,3.33,RU,1689889598
90,yellowknife,62.456,-114.3525,301.44,32,100,4.12,CA,1689888901
91,fale old settlement,-9.3852,-171.2468,301.27,78,30,4.99,TK,1689889084
92,bandundu,-3.3167,17.3667,300.55,39,72,2.06,CD,1689889599
93,isafjordur,66.0755,-23.124,284.28,74,34,0.65,IS,1689889095
94,puerto deseado,-47.7503,-65.8938,281.72,80,100,7.58,AR,1689889599
95,ancud,-41.8697,-73.8203,283.83,89,59,8.43,CL,1689889161
96,lorengau,-2.0226,147.2712,301.23,78,26,4.02,PG,1689889169
97,invercargill,-46.4,168.35,277.13,78,6,3.7,NZ,1689889100
98,iqaluit,63.7506,-68.5145,278.0,100,100,3.6,CA,1689889094
99,sonta,45.5947,19.0981,292.14,56,2,2.38,RS,1689889600
100,ta`u,-14.2336,-169.5144,299.76,78,93,9.44,AS,1689889093
101,praia da vitoria,38.7333,-27.0667,295.29,94,20,2.61,PT,1689889600
102,punta arenas,-53.15,-70.9167,273.85,74,100,7.79,CL,1689889093
103,badger,64.8,-147.5333,293.78,89,100,2.06,US,1689889079
104,bonthe,7.5264,-12.505,298.29,88,100,3.22,SL,1689889600
105,aykhal,66.0,111.5,287.57,88,100,6.35,RU,1689889134
106,pahrump,36.2083,-115.9839,315.28,14,2,4.02,US,1689889326
107,robore,-18.3333,-59.75,298.2,42,0,2.39,BO,1689889601
108,yuzhno-kurilsk,44.0306,145.8556,288.15,90,23,3.17,RU,1689889601
109,bamnet narong,15.4992,101.6897,297.54,87,100,2.5,TH,1689889601
110,hakui,36.8833,136.7833,297.73,89,15,1.44,JP,1689889601
111,bedesa,8.9,40.7833,289.84,90,100,3.08,ET,1689889601
112,nguigmi,14.2495,13.1092,301.96,60,35,4.57,NE,1689889601
113,berdigestyakh,62.0989,126.6992,286.56,92,100,2.25,RU,1689889602
114,bandarbeyla,9.4942,50.8122,296.86,83,100,13.07,SO,1689889602
115,jinghong,21.991,100.7341,295.42,100,99,0.45,CN,1689889602
116,acarau,-2.8856,-40.12,298.71,71,2,7.45,BR,1689889411
117,ouadda,8.0777,22.4007,293.5,96,100,0.28,CF,1689889054
118,miri,4.4148,114.0089,298.23,94,40,3.6,MY,1689889602
119,gorgan,36.8387,54.4348,298.13,73,75,3.09,IR,1689889602
120,kavieng,-2.5744,150.7967,301.25,75,19,3.57,PG,1689889603
121,el nido,11.1858,119.3956,299.37,85,100,1.71,PH,1689889603
122,hami,42.8,93.45,303.65,21,100,10.67,CN,1689889603
123,carloforte,39.145,8.3058,300.68,67,5,0.89,IT,1689889603
124,east london,-33.0153,27.9116,287.29,51,100,6.19,ZA,1689889115
125,bardai,11.65,7.2333,297.73,80,100,3.19,NG,1689889154
126,nikolayevsk-on-amure,53.1406,140.73,294.07,80,85,1.31,RU,1689889121
127,papatowai,-46.5619,169.4708,279.12,69,10,8.75,NZ,1689888956
128,okhotsk,59.3833,143.3,288.68,80,36,2.35,RU,1689889108
129,pakenham,-38.0667,145.4833,282.16,93,93,0.45,AU,1689889604
130,enewetak,11.3474,162.3373,301.72,79,79,6.26,MH,1689889123
131,kapoeta,4.7717,33.5903,296.43,80,99,1.63,SS,1689889604
132,port lincoln,-34.7333,135.8667,284.39,66,47,2.89,AU,1689889086
133,ranam,41.7136,129.6844,295.05,89,12,0.82,KP,1689889604
134,gao,16.6362,1.637,304.9,48,63,4.07,ML,1689889604
135,tofol,5.3248,163.0078,301.2,80,100,9.23,FM,1689889605
136,narrabri,-30.3167,149.7833,283.96,47,26,1.31,AU,1689889605
137,kokpekty,48.75,82.4,289.75,75,7,0.94,KZ,1689889605
138,lazaro cardenas,17.9583,-102.2,304.57,66,83,5.68,MX,1689888829
139,mahina,-17.5065,-149.489,299.02,53,20,11.32,PF,1689889605
140,callaway,30.153,-85.5699,306.18,71,0,4.63,US,1689889079
141,arraial do cabo,-22.9661,-42.0278,294.07,64,75,5.14,BR,1689888780
142,vadso,70.0744,29.7487,282.64,93,75,8.23,NO,1689889156
143,lospalos,-8.5186,127.0025,294.15,87,78,3.5,TL,1689889606
144,stanley,54.868,-1.6985,285.4,92,0,1.03,GB,1689889094
145,cedral,23.8,-100.7333,303.79,18,91,5.83,MX,1689889606
146,st. john's,47.5649,-52.7093,300.81,61,40,7.72,CA,1689888946
147,nizhneudinsk,54.9076,99.0276,284.32,92,0,1.53,RU,1689889117
148,tura,25.5198,90.2201,296.37,97,100,1.29,IN,1689889129
149,palmer,42.1584,-72.3287,303.65,43,20,4.12,US,1689888929
150,tobelo,1.7284,128.0095,299.05,85,4,3.25,ID,1689889606
151,ouricuri,-7.8825,-40.0817,296.8,46,8,3.92,BR,1689889607
152,ovalle,-30.5983,-71.2003,292.38,44,100,0.56,CL,1689889607
153,ribeira grande,38.5167,-28.7,295.37,88,40,4.02,PT,1689889089
